source,target,confidence,note
reference/review_assets/canonical_from_jar_png/createcs/bk.png,client/assets/createcs_legacy/00_ui_confirmed/bk.png,confirmed_runtime,Loaded directly by nw.java from /createcs/*.
reference/review_assets/canonical_from_jar_png/createcs/stone.png,client/assets/createcs_legacy/00_ui_confirmed/stone.png,confirmed_runtime,Loaded directly by nw.java from /createcs/*.
reference/review_assets/canonical_from_jar_png/offline/99000.png,client/assets/createcs_legacy/01_core_compositor/body_sheet_family_990xx_confirmed/99000.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99001.png,client/assets/createcs_legacy/01_core_compositor/body_sheet_family_990xx_confirmed/99001.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99002.png,client/assets/createcs_legacy/01_core_compositor/body_sheet_family_990xx_confirmed/99002.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99003.png,client/assets/createcs_legacy/01_core_compositor/body_sheet_family_990xx_confirmed/99003.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99004.png,client/assets/createcs_legacy/01_core_compositor/body_sheet_family_990xx_confirmed/99004.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99005.png,client/assets/createcs_legacy/01_core_compositor/body_sheet_family_990xx_confirmed/99005.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99006.png,client/assets/createcs_legacy/01_core_compositor/body_sheet_family_990xx_confirmed/99006.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99007.png,client/assets/createcs_legacy/01_core_compositor/body_sheet_family_990xx_confirmed/99007.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
